College_Name,Student_Faculty_Ratio,Annual_Fees_INR,Placement_Percentage,Average_Package_LPA,Infrastructure_Score
Indian Institute of Technology Madras - Campus 1,14,113042,59,9.2,8
National Institute of Technology Trichy - Campus 1,27,115999,67,3.07,7
Anna University Chennai - Campus 1,22,47955,50,3.4,9
PSG College of Technology - Campus 1,18,67841,43,4.64,8
Coimbatore Institute of Technology - Campus 1,15,100640,54,4.66,9
Government College of Technology Coimbatore - Campus 1,28,226582,45,9.32,4
SSN College of Engineering - Campus 1,14,195983,93,4.51,3
SRM Institute of Science and Technology - Campus 1,26,220103,88,8.33,9
VIT Vellore - Campus 1,18,249798,69,6.94,9
SASTRA University - Campus 1,18,168429,95,7.73,4
Sri Sairam Engineering College - Campus 1,28,193551,77,10.38,5
Velammal Engineering College - Campus 1,11,91476,90,6.04,4
Rajalakshmi Engineering College - Campus 1,15,74811,96,9.71,8
St Josephs College of Engineering - Campus 1,10,197280,41,6.22,4
Kumaraguru College of Technology - Campus 1,29,181222,54,5.54,4
Thiagarajar College of Engineering - Campus 1,28,101180,50,11.59,3
Bannari Amman Institute of Technology - Campus 1,9,204358,47,3.84,4
Sri Krishna College of Engineering and Technology - Campus 1,19,142856,65,2.9,9
Sona College of Technology - Campus 1,13,98450,90,9.71,3
Karpagam College of Engineering - Campus 1,9,182424,84,2.68,6
Muthayammal Engineering College - Campus 1,28,216141,83,10.37,5
Paavai College of Engineering - Campus 1,8,141888,44,6.37,3
Mahendra Engineering College - Campus 1,19,140448,45,11.16,8
Nandha Engineering College - Campus 1,29,44397,65,9.22,6
Erode Sengunthar Engineering College - Campus 1,19,202627,93,8.1,3
Dhanalakshmi Srinivasan Engineering College - Campus 1,24,208031,43,11.49,3
IFET College of Engineering - Campus 1,17,161800,58,5.97,5
Velalar College of Engineering and Technology - Campus 1,23,211589,59,11.54,9
SNS College of Technology - Campus 1,22,149180,72,3.35,8
Adhiyamaan College of Engineering - Campus 1,22,96234,59,6.84,7
Indian Institute of Technology Madras - Campus 2,26,69954,88,4.7,7
National Institute of Technology Trichy - Campus 2,19,208352,51,7.4,3
Anna University Chennai - Campus 2,27,109459,86,3.62,4
PSG College of Technology - Campus 2,10,177851,40,10.42,8
Coimbatore Institute of Technology - Campus 2,12,225004,65,10.46,6
Government College of Technology Coimbatore - Campus 2,26,234008,53,11.55,4
SSN College of Engineering - Campus 2,14,185538,77,3.55,4
SRM Institute of Science and Technology - Campus 2,28,198011,76,8.23,8
VIT Vellore - Campus 2,16,230968,50,6.74,9
SASTRA University - Campus 2,14,196342,75,5.44,3
Sri Sairam Engineering College - Campus 2,25,89163,52,5.52,3
Velammal Engineering College - Campus 2,11,243709,82,6.13,3
